detected,resort,name,park,type,kind,start,end,was
2026-09-15,WDW,Meet Moana at Character Landing,Disney's Animal Kingdom Theme Park,Closed,NEW CLOSURE,2026-09-15,2026-09-15,
2026-09-16,WDW,American Heritage Gallery,EPCOT,Closed,NEW CLOSURE,2026-09-16,2026-09-17,
2026-09-20,DLR,Davy Crockett's Explorer Canoes,Disneyland Park,Closed,NEW CLOSURE,2026-10-05,2026-10-08,
2026-09-20,DLR,Sailing Ship Columbia,Disneyland Park,Closed,NEW CLOSURE,2026-10-05,2026-10-09,
2026-09-24,DLR,Mater's Junkyard Jamboree,Disney California Adventure Park,Closed,REOPENED,2026-09-24,2026-10-23,2026-09-24..2026-10-23
2026-09-25,DLR,"""it's a small world"" Holiday",Disneyland Park,Closed,SHORTENED,2026-09-25,2026-09-25,2026-09-24..2026-10-23
2026-09-25,DLR,Haunted Mansion,Disneyland Park,Closed,SHORTENED,2026-09-25,2026-09-25,2026-09-24..2026-10-23
2026-09-25,DLR,Hyperspace Mountain,Disneyland Park,Closed,SHORTENED,2026-09-25,2026-09-25,2026-09-24..2026-10-23
2026-09-25,DLR,Indiana Jones™ Adventure,Disneyland Park,Refurbishment,SHORTENED,2026-09-25,2026-09-25,2026-09-24..2026-10-23
2026-09-25,DLR,Mad Tea Party,Disneyland Park,Refurbishment,SHORTENED,2026-09-25,2026-09-25,2026-09-24..2026-10-23
2026-09-25,DLR,"""it's a small world"" Holiday",Disneyland Park,Closed,NEW CLOSURE,2026-09-27,2026-10-24,
2026-09-25,DLR,Haunted Mansion,Disneyland Park,Closed,NEW CLOSURE,2026-09-27,2026-10-24,
2026-09-25,DLR,Hyperspace Mountain,Disneyland Park,Closed,NEW CLOSURE,2026-09-27,2026-10-24,
2026-09-25,DLR,Indiana Jones™ Adventure,Disneyland Park,Refurbishment,NEW CLOSURE,2026-09-27,2026-10-24,
2026-09-25,DLR,Mad Tea Party,Disneyland Park,Refurbishment,NEW CLOSURE,2026-09-27,2026-10-24,
2026-09-25,DLR,"""it's a small world"" Holiday",Disneyland Park,Closed,EXTENDED,2026-09-25,2026-10-24,2026-09-25..2026-09-25
2026-09-25,DLR,Haunted Mansion,Disneyland Park,Closed,EXTENDED,2026-09-25,2026-10-24,2026-09-25..2026-09-25
2026-09-25,DLR,Hyperspace Mountain,Disneyland Park,Closed,EXTENDED,2026-09-25,2026-10-24,2026-09-25..2026-09-25
2026-09-25,DLR,Indiana Jones™ Adventure,Disneyland Park,Refurbishment,EXTENDED,2026-09-25,2026-10-24,2026-09-25..2026-09-25
2026-09-25,DLR,Mad Tea Party,Disneyland Park,Refurbishment,EXTENDED,2026-09-25,2026-10-24,2026-09-25..2026-09-25
2026-09-25,DLR,"""it's a small world"" Holiday",Disneyland Park,Closed,REOPENED,2026-09-27,2026-10-24,2026-09-27..2026-10-24
2026-09-25,DLR,Haunted Mansion,Disneyland Park,Closed,REOPENED,2026-09-27,2026-10-24,2026-09-27..2026-10-24
2026-09-25,DLR,Hyperspace Mountain,Disneyland Park,Closed,REOPENED,2026-09-27,2026-10-24,2026-09-27..2026-10-24
2026-09-25,DLR,Indiana Jones™ Adventure,Disneyland Park,Refurbishment,REOPENED,2026-09-27,2026-10-24,2026-09-27..2026-10-24
2026-09-25,DLR,Mad Tea Party,Disneyland Park,Refurbishment,REOPENED,2026-09-27,2026-10-24,2026-09-27..2026-10-24
2026-09-26,DLR,Davy Crockett's Explorer Canoes,Disneyland Park,Closed,NEW CLOSURE,2026-10-12,2026-10-15,
2026-09-26,DLR,Sailing Ship Columbia,Disneyland Park,Closed,NEW CLOSURE,2026-10-12,2026-10-16,
