resort,id,name,park,date,type
DLR,18848247,Mater's Jingle Jamboree,Disney California Adventure Park,2026-09-20,Closed
DLR,18848246,Luigi's Joy to the Whirl,Disney California Adventure Park,2026-09-20,Closed
DLR,353347,Haunted Mansion,Disneyland Park,2026-09-20,Closed
DLR,16514431,Mater's Junkyard Jamboree,Disney California Adventure Park,2026-09-20,Closed
DLR,18237368,Hyperspace Mountain,Disneyland Park,2026-09-20,Closed
DLR,18237232,"""it's a small world"" Holiday",Disneyland Park,2026-09-20,Closed
DLR,18343088,Luigi's Rollickin' Roadsters,Disney California Adventure Park,2026-09-20,Closed
DLR,353355,Indiana Jones™ Adventure,Disneyland Park,2026-09-20,Refurbishment
DLR,19324604,Soarin' Over California,Disney California Adventure Park,2026-09-20,Closed
DLR,353369,Mad Tea Party,Disneyland Park,2026-09-20,Refurbishment
DLR,353431,Soarin' Around the World,Disney California Adventure Park,2026-09-20,Closed
DLR,353311,Davy Crockett's Explorer Canoes,Disneyland Park,2026-09-21,Closed
DLR,18848247,Mater's Jingle Jamboree,Disney California Adventure Park,2026-09-21,Closed
DLR,353369,Mad Tea Party,Disneyland Park,2026-09-21,Refurbishment
DLR,353431,Soarin' Around the World,Disney California Adventure Park,2026-09-21,Closed
DLR,18848246,Luigi's Joy to the Whirl,Disney California Adventure Park,2026-09-21,Closed
DLR,16514431,Mater's Junkyard Jamboree,Disney California Adventure Park,2026-09-21,Closed
DLR,353347,Haunted Mansion,Disneyland Park,2026-09-21,Closed
DLR,353425,Sailing Ship Columbia,Disneyland Park,2026-09-21,Refurbishment
DLR,18343088,Luigi's Rollickin' Roadsters,Disney California Adventure Park,2026-09-21,Closed
DLR,353355,Indiana Jones™ Adventure,Disneyland Park,2026-09-21,Refurbishment
DLR,19324604,Soarin' Over California,Disney California Adventure Park,2026-09-21,Closed
DLR,18237368,Hyperspace Mountain,Disneyland Park,2026-09-21,Closed
DLR,19354459,Villains Grove at Oogie Boogie Bash,Disney California Adventure Park,2026-09-21,Closed
DLR,18237232,"""it's a small world"" Holiday",Disneyland Park,2026-09-21,Closed
DLR,18237232,"""it's a small world"" Holiday",Disneyland Park,2026-09-22,Closed
DLR,353369,Mad Tea Party,Disneyland Park,2026-09-22,Refurbishment
DLR,353425,Sailing Ship Columbia,Disneyland Park,2026-09-22,Refurbishment
DLR,353347,Haunted Mansion,Disneyland Park,2026-09-22,Closed
